CUSTOMERFIRSTNAME	CUSTOMERMIDDLEINITIAL	CUSTOMERLASTNAME	CUSTOMERHOMEPHONENUMBER	CUSTOMERADDRESS	ORDERLINEITEMNUMBER	ITEMNAME	ITEMQUANTITY	ITEMINDIVIDUALPRICE	ITEMPRICEXQUANTITY	ORDERTOTALCOST	ORDERNOTES	ORDERDATETIME
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"1"	"9.50"	"9.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Pepperoni Pizza (Large)"	"1"	"15.50"	"15.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"4"	"2 Liter Soda"	"2"	"2.75"	"5.50"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"5"	"6 Cookies (Choc. Chip)"	"1"	"4.75"	"4.75"	"40.00"	"Some text that goes here, even with a delimiting comma. Yay!"	"01082015_173511"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Pepperoni Pizza (Individual)"	"2"	"9.50"	"19.00"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"6 pack 12 .oz can soda"	"1"	"2.50"	"2.50"	"21.50"	"No relation to Annoying Orange, that is Mike Orange"	"01082015_182137"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"1"	"Stromboli (meat-cheese)"	"2"	"6.50"	"13.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"2"	"Marinara Sauce (large)"	"1"	"1.00"	"1.00"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Allan"	"L"	"Taylor"	"999999999"	"555 Nowhere St. Nowhere OH 55555"	"3"	"6 pack 12 .oz can soda"	"3"	"2.50"	"7.50"	"21.50"	"Some text that goes here, even with a delimiting comma. Yay!"	"01152015_202108"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"1"	"Cinnamon Pull Apart"	"1"	"3.00"	"3.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"2"	"12 .oz can soda (single)"	"2"	"0.75"	"1.50"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"3"	"Stromboli (Feta cheese-Spinach)"	"2"	"5.50"	"11.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
"Lisa"	"V"	"Orange"	"999999998"	"2121 Petticoat Ln. Nowhere OH 55555"	"4"	"Vegetable Pizza (Large)"	"2"	"14.00"	"28.00"	"43.50"	"No relation to Annoying Orange, that is Mike Orange"	"01202015_230002"
